,Text
129,"Probably one of my favourite malls of all time. It's literally open almost every holiday when other malls aren't and they've  got so many stores to choose from, especially with all the renovations from the closure of Sears. I'd say there's definitely more high-end stores than there are affordable ones so that's good to keep in mind for budgeting purposes. It's in a great area--the heart or downtown Toronto and across the street from Dundas Square, the Atrium, and is alongside many restaurants. It's also great in the summer time as there are many street festivals in the area. I also like that there a bridge connecting the mall to The Bay, especially during the winter when it's really cold outside. The food court has also been renovated just like what they seem to be doing with every other mall in Toronto. Eatons is always super crowded and is a spot a lot of tourists like to go to due to its location. To avoid the crowds, its best to go earlier during the week at non-peak hours.Even if you can't find something in the mall (which probably highly unlikely) there are many other stores in the area to choose from."
130,dont forget your compass!! Seers is huge still couldnt find a hat though . Friendly staff in all stores
131,"hier kann man sehr gut shoppen gehen. leider ist der kanadische dollar nicht so schwach wie der amerikanische. aber fÃ¼r europÃ¤ische verhÃ¤ltnisse dann doch noch gÃ¼nstig. die mall ist direkt im herzen von toronto. nur ist die mall an sich eher dÃ¼ster. die auswahl an shops ist aber groÃŸartig. fÃ¼r die marken, die man in europa schwer bekommt, shoppt man hier genau richtig!"
132,"being one of the largest malls in Ontario, isn't easy, it comes with some of the highest priced stores in Canada. this mall has been a staple for all sorts of events, which seemingly always makes everyday, a different day, if that makes sense. always something going on, might work better. this mall is also almost always under renovation of some sort, what with sears now out of the picture, that whole ""end"" of the mall is closed for incoming stores. super transit friendly with a subway station on both ends of the mall, plus streetcars and buses accessible on the ground level. best to avoid the upper levels as the higher you go up, the more expensive it is.a good way to kill a day at this mall(with it only being closed twice a year with awesome hours), with lots of shopping and food options available!  lots of parking in the garage, or the surrounding areas."
133,"I used to enjoy hanging out at the Eaton Centre but not as much now.They have the best variety of stores and price level goes up with the floor number. Nothing really interesting though. You can basically find the same stores here and there in other malls around GTA. EC just does a (good) job of putting them together in my opinion.EC is conveniently located in the downtown core so I can access a great selection of dining/shpping options outside on Yonge Street as well. However as a result of the location, more often than not I feel being pushed by the hordes of people so it is not quite a mall to casually take a stroll.And the so-called ""cadillac WIFI"" does not connect half of the time I am here. Ridiculous. The WIFI powered by other stores (Saks and such) is more reliable.I have to admit the mall is well-kept and clean with nice design though."
134,"One of the best shopping/entertainment destinations in Toronto.  In fact it's a must see for anyone visiting Toronto, just like the CN tower! Smack in the middle of downtown on top of two metro stations. Pretty much all major stores are there and surrounded by much more fun things to do along Young Street. It's also an easy walk to Queen West. It's a busy mall though, so if you're not comfortable with people all around you, maybe you should be shopping online."
135,"The Eaton Centre is basically how you know you are in the heart of the city. Located right in Dundas Square and taking you all the way to Queen Street East, this mall is massive in size having 3 full floors of shopping, a massive parking garage, a large food court with tons of variety, and even some offices above it. I've been coming to the Eaton Centre for about 6 years now and although stores I like such as HMV and Bluenotes are no longer here, this is still my go-to shop stop in the city. I come here for stores like Bench, Roots, Hudson's Bay, Foot Locker, Toronto Blue Jays Team Store, Hot Topic, and for the wide variety of food located downstairs which include everything from Chinese, Thai, Kentucky Fried Chicken, to even some sit down restaurants like Joey Eaton. Overall, this is not the best mall Toronto has, it's certainly the most convenient to come to if you are downtown."
136,Huge mall. Good variety of selections esp during the US thanksgiving weekend. Lots of Pokemons too for those playing Pokemon Go. A definite time killer and you can spend/waste so much time there. You get to see the latest styles so you will find some nice deals during sale periods.
137,"Wow! This is quite a mall. Visited on Family Day 2017. I'm not sure I've ever been in a busier mall. Of course many of the area malls were closed for the holiday, so no doubt that increased the crowd even more.I've been to malls with more top-end stores in the US but haven't been to one yet that impressed me more with sheer size. With a labyrinth of a mall like Eaton Centre and an adjoining Saks Fifth Avenue you are bound to find all you need here, and plenty of top-flight stores to boot.This mall is HUGE! Maybe the biggest mall I've ever been in if you count all the nooks and crannies you can walk to without ever stepping foot outside. While we walked from parking at City Hall, the fact that the subway system is connected directly to the mall was great and novel to me.Other people have given you all the logistics and finer details of the mall - I just wanted to add my two cents - color me impressed! Definitely worth a visit when you're in Toronto."
138,"Still has a great selection of stores & now Saks Fifth Ave has opened up next to The Bay. Nordstrom's is due to open in fall 2016 I believe. I can see this place getting even more busy. So I like to shop early on a Saturday morning to avoid crowds. I'm not sure about the food court though. I tried Big Smoke Burger (seems overpriced) & Crepe Delicious (not tasty). I've tried Urban Herbivore in the past which is good but also seems overpriced. I just want something hot, simple, tasty & not costing an arm or leg. I'll try a different place in the food court next time & hope its good."
139,"Huge mall, has everything, great location.  There are restaurants, subway, bus, everything is nearby."
140,"This is a Horton Plaza toned down.  A three level mall with sublevels.  Horton Plaza is located in San Diego and is a crazy labyrinth of narrow walkways and stairs.This was my first Toronto mall experience, and I must admit that I was a little turned off.  People match the low caliber stores.  There were only two landmarks, a fountain and a giant Christmas tree.  I prefer many different things to look at while I'm shopping.They do have an Apple store and a Williams Sonoma which were sufficient to fill my Christmas shopping list.  If you aren't concerned with quality you can almost buy anything you want here, from clothes to toys to cell phones."
141,This is a HUGE mall near downtown Toronto.  I went here about 3 hours before I had to catch a flight home.  I found so much good stuff that I had to expand my carry on luggage and check it just to get it all back to the states.  It's best to go when the dollar to loonie ratio favors the US.  Way more fun to shop when everything is 20% off because of the exchange rate!
142,What do they even have here that no where else has?? Parking is $9/hr. The elevators are ridiculous. There's no selection. Everything's sooo spread apart. Nothing special about this mall besides the fact that it looks nice.
143,"It's a big mall that (probably)has everything you need, making it a one stop shop. But don't expect to be in and out, as it's always jammed with people. Which is why I try to avoid it the best I can. The food court does have a lot of options, however, even with all the seating they have, it's still not enough. Though I'll say I do like the hand wash stations they have set up."
144,Silly me for coming here on Black Friday...total chaos! However the beautiful Xmas decorations had me in ore...love love love!!
145,"Not as good as it use to be it still is located right in the center of downtown Toronto. It has just about every item you can possibly think of but and it has the most trendy fashion around. The down side, is it's always busy and relatively expensive. Still, great place to wander around for a while if you have some free time."
146,"nothing exciting..is it just me, or the stores really have not much stuff to buy.. i mean. they all have lots of stuff, but nothing to buy!! every time i go there!Zara, aritzia,  browns are always messy and full of people, i really don't shop any other store within that mall... just lots of useless stores in my opinion..."
147,This is a kool mall in downtown. I think it's expensive compared to NYC. I was visiting Toronto for the weekend and this mall caught my attention.  Canada doesn't have too many sales.
148,"Every Toronto tourism brochure seems to hype up this place. Like really? You have to come here because it's uniquely Torontonian? I spent three hours here with my cousin as she looked for things that she couldn't find in Japan. After a while, all the stores look the same (Jean Machine, Garage??). My cousin ended up just buying a lipstick from M.A.C because it's cheaper here than in Japan. The clientele is pretty sketchy as well. If you're visiting Toronto, skip it as the shopping mall phenomenon seems to have reached every corner of the world.Good for: killing time, tiring yourself out"
149,"You know the Eaton's Centre is the most visited attraction in Toronto.... I don't know what wanker came up with that figure... but most days it feels very true. I work close to here and most days end up wandering through the mall or at least the food court. Some interesting stores.... but I think I can count the purchases I've made here on one hand. I can't really afford the stores I want to buy from here (Harry Rosen, Johnson and Murphy) so most days I am here its just idle window shopping. I do like the centrally located Indigo here for book browsing and the statues of Canada Goose which guide you in from Queen Street."
150,"Huge shopping centre downtown Toronto. Every type of shop you can think of. Food court is huge and has every type of food you can wish for! Close to subway stations and Yonge Street which is a bit like Oxford Street here in London. Some stores I would recommend are Sears, Smart Set, Aldo and Chapters."
151,"The Hollister at the Eaton centre is terrible, I have been in store 3 times and have had terrible service, all of the employees think are so cool, too cool to talk to you. I saw a cute romper on a manican and asked where  they were and the guy said they sold out, while there was 5 left around the corner. There is always a line up by the change rooms and always a line up for the cash. It is to dark you can barely see the colours. I hate it and I'm never going back to hollister. Abercrombie is just upstairs and has much better service with the same type of clothes!"
152,"Das Eaton Centre ist ein vierstÃ¶ckiges Einkaufszentrum in der Innenstadt von Toronto. Es ist nach der ehemaligen Warenhauskette Eatons benannt. Das Eaton Centre ist mit seinen mehr als 330 LÃ¤den das grÃ¶ÃŸte Einkaufszentrum Ontarios. Insgesamt ist es das drittgrÃ¶ÃŸte Kanadas. Das Eaton Centre ist bequem mit der U-Bahn zu erreichen. Direkt angeschlossene Stationen sind Dundas und Queen. Man kann dort sehr einfach einige Stunden totschlagen. Im Sommer angenehm gekÃ¼hlt, im Winter angenehm beheizt :-)."
153,"The most known mall in Toronto which attracts some of the biggest traffic in all of Canada. Eaton Centre is located right at the heart of Downtown Toronto where Dundas Square and Nathan Phillips Square is.I would recommend taking public transport to the Eaton Centre because you have to pay for parking and to get to the mall from the parking is a hassle for me.Eaton Centre has their shops arranged where the bottom floor generally has the more affordable products, and keeps going up the hierarchy until you reach the top brands located at the top and the food court located at the very bottom. Eaton Centre has the most intense lineups when something hype comes out, but it's probably also one of the first places that will have that item if you're into being the first to buy things that just come out.The design of the mall is a rectangle with a few bizzare odds and ends sticking in and out of it, so it might be a little challenging if you want to go around the escalators, but if you're a commuter and go to the PATH, you're probably a pro at it by now."
154,"Open, light multi story mall downtown.This is a great rainy day activity or full time activity for a shopaholic.  The mall is several stories of atrium with great light and a huge, open feel.  You will see the same stores you see in any  U.S. mall, but it is nice to have them together and right in the middle of Toronto's commercial district."
155,"The Eaton Center is a far cry from what it used to be with the Eaton department store. While I was there the whole place was under construction and no one seems to know exactly how the massive reconstruction is going to turn out. It was still loaded with plenty of stores, but really mostly all chains with everything very much the same as may be found in any mall within the United States, but even with a dollar conversion, generally at significantly higher prices. Access to and from the Toronto Subway system remains very much the same, easy to access and user friendly. As the Eaton Center is huge, maybe the largest center city mall in North America, my hope is that their renovation efforts with again make it a worthwhile center to visit and shop. In the meantime with all of the construction, it is hardly worth while going out of your way to visit."
156,"It's so crazy. The Eaton Centre has a great selection of stores.This place has everything you could need, a great selection of stores in a beautiful, modern, spacious and bright environment. All the employees are all extra friendly and willing to help us when you have any problem.The food court is pretty top notch in terms of quantity - sushi, asian foods, burgers, McDonalds galore, with a massive amount of seating."
157,This place is HUGE. I don't remember how many levels they have. Good place to hang out and window shop or really shop if you are into any of those things.
158,"This is what shopping should be like everywhere. The mall is big, spacious, clean, well lit, and trendy. It also feels premium and expensive. They have so many retailers. You could spend a whole day shopping here and be guaranteed to find what you're looking for. It does a great job at blending higher end stores and more accessible stores. It's definitely worth having a look at if you're in Toronto."
159,"What a great place to people watch in Toronto from a tourist's perspective. I really saw how diverse Toronto is. Not just the mix of backgrounds of the people but groups and couples of different backgrounds. I don't think any city in the US (or any in the world) can measure up.The shopping is decent as well. Good mix of stores for different budgets and product needs (clothes, pharmacy, restaurant, banks etc.). The food court needs more seats though. each time I went there (I was staying at the hotel across the street), the place was packed."
160,"Better than most American malls I've been to simply based on the size and selection, but honestly, I think I remembered this mall better than what it was.  Now that I live in between two cities with a lot more options when it comes to shopping (as opposed to upstate NY when I last travelled to Toronto), it really wasn't as big of a deal as I remembered. Whereas I walked out the mall years ago with bags and bags of new falls clothes, this time, the only thing I walked out with was one bag from La Senza.  Needless to say, I was disappointed, but I guess my tastes have matured past my last visit.  I am more of a boutique-y person now and prefer Yorkville and Queen Street over Eaton Centre any day. If you are visiting the city, of course, it's worth stopping in, but don't make a day of it or anything. This is not the place everyone's talking about when they say ""Toronto has such good shopping!"" This mall's three stars makes since if you are from a city with great shopping... if not, then read this review as a four.  Again - better than any American Mall I've been to (and that includes the Mall of America)."
161,"I haven't been to Eaton for quite awhile. Mainly because I always find the amount of people shopping there on the weekends overwhelming. Two weeks ago when I had to pick up some gifts along the way before going to uptown, I decided to give it another try. OMG!!! For a second, I thought I went back to Asia. SO CROWDED!!! It felt that the entire T.O population was jammed in one mall. I suppose it was because of the xmas season, but still!! Definitely not for people with claustrophobia."
162,"Without a doubt, the mall of downtown Toronto. Imagine they put an actual mall in Manhattan. Well, in a way this is what's happened here since Yonge Street is so similar (but cleaner and nicer). Great mall that's always a destination of mine each and every time I'm in Toronto. Sears on one side (that I almost never visit) and the Bay on the other (which I always visit). In between? A big Chapters, plenty of clothing shops from Harry Rosen to cheap, no frills stuff, a Shoppers Drug Mart, a SportChek, a killer food court, plenty of restaurants inside and outside and a lot more. Since this is the big shopping mecca there's always promotions going on around the mall inside and outside. Last time I got a bunch of free cereal samples. Time before that? Some body lotion. I likey that. They don't even usually do that in LA. Why does Toronto get all the love?"
163,"While I'm not a big fan of malls bring in cities, I was in the area and decided to stop in. First, this mall is very large and can get pretty crowded. Though, they have maps around the mall that allow you to easily navigate the mall. The terminals were also nicely organized so I got around well. They have a variety of stores in this mall including Uni Qlo, Champs Sports, Nike Running, Microsoft, Apple, Foot Locker, Saks and Fifth Avenue and more! While I didn't explore the whole mall, I did not see a food court. Though I did see some food shops like Tim Horton's and Freshii. They also had some food across the street. This mall has water fountains with ice cold water located around the terminals!Some cool features here also include the mall's glass roof and park! I really wish the mall did a better job of communicating on if a store is closed. For example, I was looking forward to going to Uni Qlo, but it was closed for a restock. Altogether, this is a really nice mall that you should check out if you have time while in Toronto!"
164,Lots to see and every store you can imagine so easy to get lost in this mall cause it's massive!
165,"This is a shopping mall, and a very busy and crowded one at that. I'm not sure why it is well-ranked as an ""attraction.""Ranking it three stars because it is clean and has a lot of stores and appears to be a decent mall as far as malls go. As an ""attraction"" for out-of-town visitors, 0 stars."
166,Great store selection but SOO busy! I like the hours - couldn't believe they were open until 9:30pm or maybe even later!
167,"I would never recommend anyone try and do any real shopping here (unless you go when it first opens or right when it's going to close) It's always a zoo, especially during holidays or back to school. You'll get a mega-headache trying to do anything productive. This is especially true if you are going to the Apple store (lined up outside the store), Aritzia (group changerooms during the holidays!), H&M (always a mess) ... However, it is very handy if you only need to do a few quick errands, like stop in at Chapters/Sephora/Shoppers or grab a bite to eat at the food court (I like Freshii/Starbucks). Note - there are TWO foodcourts - the one near Dundas St station is NOT good - it's worth the walk through the mall to the Queen St side. Also, don't eat at Mr. Greenjeans."
168,"Toronto Eatons Centre That's strange there's no longer Eatons store people. It's Sears now. Another anomaly is like the Simpson's Tower on Queen St that the Bay Corporate office is in?  Simpson's is long gone.  Guess there's attachment to the names in the city. Anyways, Toronto Eatons Centre is downtown best mall. Dufferin Mall is the other mall and pales in comparison.Eatons Centre over the past couple years have been undergoing renovations so they are making it better. It's 3 Levels and open on Statutory Holidays. Family Day ~     10 AM - 6 PMGood Friday  ~  10 AM - 6 PMEaster Sunday ~ CLOSEDVictoria Day ~    10 AM - 6 PMCanada Day ~   10 AM - 6 PMCivic Holiday ~  10 AM - 6 PMLabour Day ~    10 AM - 6 PMThanksgiving Day ~ 10 AM - 6 PMChristmas Day ~ CLOSEDNew Year's Day ~ 12 PM - 5PM The highlight of the mall in my opinion would be the new food court, it's snazzy with the modern furniture and has most every cuisine choice there. I would say it's revolutionary cause I never seen anything like it anywhere. Apparantly the cost was $48 million to build.The food court offers real Toronto restaurants, uncommon ones, hand washing stations The design is modern, and food is served on real plates, at one Japanese restaurant there was a classical trio playing?! What the heck. Rest of the mall is standard affair but improving each year however the food court is amazing!"
169,"Eaton Centre is a pretty good mall, it has most of the stores you'd expect, but nothing really stands out about this Mall. Many newer malls boast some type of recreation or attraction and also offer high end dining options, you do t really see that at Eaton Centre. It's downtown Toronto, so it's almost always over crowded and parking can be a bit of an ordeal."
170,"Eaton Centre, a name full of legacy, is still my shopping heaven in Toronto.  I prefer it over Yorkdale Shopping Centre because, despite it being farther from my house, it has more stores that are within my price range.  I visited for Boxing Day shopping.  I parked in the attached parking structure to enjoy the luxury of leaving my winter coat in the car and dropping off the shopping bags periodically.  It only costed $8 for the whole day.  Go beat it, Yorkdale.There are A LOT of stores in Eaton Centre.  There is no designer store such as Louis Vuitton and Hugo Boss here, but Browns, Harry Rosen and Coach are high end enough for me.  I quite enjoy the convenience of buying from both cheaper and expensive stores, all under one roof.  The food court, named Urban Eatery, boosts a large variety.  There are a lot of seating.  There are a few restaurants as well.  If anything to complain, I wish there are more restrooms on each level.  I really enjoyed my Boxing Day shopping experience at Eaton Centre because the stores were generally spacious, and most stores carried a good inventory of sizes and designs.  Most stores offered 50% discount.  :-)"
171,"Das Eaton Cntre leitg sehr zentral in Toronto. Es hat mehrer Stockwerke und ist an das unterirdische Einkaufsnetz angebunden. Es gibt hier nichts was man nicht findet: GeschÃ¤fte aller Art, Schue, Kleidung, Elektronik und im Food Court natÃ¼rlich Fast Food an allen Ecken und Enden. Man kann hier prima einige Stunden verbringen und die letzten Dollars vorm Abflug unters Volk bringen :)"
172,"The Eaton Centre is an absolutely glorious shopping centre if you're going on size, and amount of stores, but apart from that I wasn't overly fond. I liked it, but unfortunately my castmates and I who were staying in Ryerson Uni round the corner made a day out of shopping here, most of which I spent on a couch in Barnes & Noble reading. I did shop, and I did spend a lot of money because some shops aren't the cheapest, but I'm not one to spent all day shopping, and I don't think I could. My favourite thing about the Eaton Centre is the popcorn stand on the bottom floor. I literally came in here once every 2 days when I was in Toronto just to buy a large bag of the extra toffee popcorn; I kid you not it is the best thing on this planet."
173,"HUGE!! LOAD OF SHOPS!! WIDE VARIETY!! Not too sure what it's like now as I was only in Toronto once in my life so for all i know, all of the more popular stores could be gone!"
174,"As the biggest mall in Toronto, the Eaton's Centre has just about everything. Encompassing 3 floors and over 3 blocks of street space it is often quite a bit of a challenge to find your way around. But if you're looking for a day of shopping there is no better place. There are subway stations on either side of the mall (north and south), so getting there is easy. If possible, don't bother parking as the rates are excessive and driving anywhere on Yonge Street can be a bit of a challenge for those who don't know the one way streets.Mall is generally busy, especially on weekends and the weeks before Christmas, so if you don't like crowds give it a miss during those periods. Also make sure you pick up a floor map if you're looking for a specific store. If it's a nice day it's also a good idea to walk out to Yonge and go to the many stores along there."
175,"Decided to to my annual summer trek to this mall on Friday.  100% tourist but it has all the stores you need/want to peruse through.  Although I still classify it as elitist kinda mall since each level is a step up from the next.  The 3rd level has mostly high end stores and of course has less people walking around, the 2nd floor has the mid end stores and generally the most people milling about and of course the first floor is generally where you find the low end, teeny bopper stores..and well where most of the teens are.It's huge, pretty much every store you've heard of and them some you haven't are located here.  They recently renovated all the food courts in here, making it more like the Yorkdale food court (thank god cuz both those food courts looked really bad).  It's more high end and in my opinion suitable to tourists as it provides better options than the fast food picks before. Easy to get to by subway or driving (paid parking lot) or justby walking depending on where you live.  The Sears that was there is no longer there, boarded off.  Sad really, but I hear Nordstrom's will be taking it's place so I'm sure that will generate some new interest.  I do like going at Christmas as well to check out their decorations, they do them well with the huge tree in the centre of the mall, and what would be the Eaton Centre without those iconic birds?  You definitely cannot beat this place for people watching...just choose your level!"
176,"Eaton Center is a one stop shop that made my university days and downtown living so convenient. Their updated late hours (9:30pm) have been a blessing for my last minute shopping and their large selection of stores are awesome.The only downside is that the popularity of the mall means that the best items (during sale periods) sell out fast. Other than that, huge props to Eaton Center for constantly improving the mall (such as the food court, market, Shoppers Drug Mart etc)"
177,"I am not the biggest fan of shopping malls, but I have been to Eaton Centre several times and always had a pleasant experience, also found what I was looking for.It is difficult to find things though, the mall is HUGE!!  But still a good choice if you have time and are prepared to go through hundreds of shops, booths and what not.Also it is nicely decorated on Christmas, worth the visit if you do not mind walking through crowds of people."
178,"A mall with a prime location and many tourists during peak hours- fairly large but poorly designed for the volume of people. Probably why there is often crowds in certain bottle-neck areas when there aren't even that many people.It's a reasonable walk from my office so I'll pop by on weekday mornings if I need to run errands. I refuse to shop here on Fridays or weekends.Decent variety of stores (mix of high and low end), average amenities, and a very out-dated layout."
179,"This mall is constantly a zoo 7 days a week (so many people it's uncomfortable to walk around) so you are better off going to the shops in the PATH, Yorkville, Fairview Mall or Yorkdale Mall to get serious shopping done. Especially the Apple Store, it's the only one downtown and it is always packed. And don't even try to eat at the food court right now, they are renovating the mall right now (as of 2010) and the food court is ridiculously overcrowded (impossible to get a seat)."
180,"This place was packed when I visited on a Monday.  I'm guessing majority of the people were tourists, since I was.The place is decently sized for a mall, and is very modernly designed.  What I love is that it's on a very busy street, so you can walk right out and shop some more since the street is lined with stores as well.  I also saw a lot of incredible fashionable stores in the mall that I've never seen in the states.If I'm ever in Toronto again and need a shopping fix, this is where I'll be."
181,"Bei unserem letzten Besuch in Kanada, waren wir auch in Toronto und haben das Eaton Centre besucht. Freunde hatten es uns empfohlen.Hier bekommt man wirklich eine Menge geboten.Vor allem auch Dinge, die es bei uns in Europa nicht so ohne weiteres gibt.Mehr gibt es eigentlich nich zu schreiben, da meine VorgÃ¤nger schon die wichtigsten Details benannt haben."
182,perfect mall with a good food court and pretty good stores. I have to say that I particularly love the Abercrombie store!
183,"A&F findet man hier. FÃ¼r Touris ein guter Anlaufpunkt, da in anderen StÃ¤dten wie NYC Abercrombie total Ã¼berlaufen ist. Hier kann man ""in Ruhe"" (abgesehen von der extrem lauten Musik) gut einkaufen. Das Sortiment ist relativ gut verfÃ¼gbar und nicht, wie in anderen StÃ¤dten, nur die GrÃ¶ÃŸen S und XL ;-)"
184,A great clean shopping environment. A few of my stores caught my eye not by their brand but their decoration. They have a organize directory like most malls and the food court is like HEAVEN(comparing to New York - New Yorker here). We came on a Saturday morning and parking was $8 for the day which was not bad. We even had a chance to walk to City hall area (approximately 15 minutes walk). We tried not to go in the stores since we basically have most of products in New York and it wouldn't be worth it since Canada's taxes are double. Our focus became what to eat for brunch in Eaton Centre food court. Their was so many varieties and they weren't all fast food. Their food court was so big and clean it was just amazing. It made me think to myself I wouldn't mind living in Toronto and coming here everyday! Would come back for sure c(;(Only con side was around 2-3 it became extremely crowded. Bathrooms was not as clean)
185,"Throwing out a very loosey-goosey 4 stars simply because Vancouver lost its Eaton unfortunately several years ago.Not to mention that this is actually a real mall, in a real DT area with some action; some of the Eatons back home just didn't do too well in surburban areas.But truly, it's a gorgeous mall with its full skylight ceiling across the top floor, and great views of the floors below.  This is gigantic, comparable to our Burnaby's Metropolis.At ground level, the food court is also quite impressive---in terms of decor, which I can't say much of the typical, boring franchise eateries here.  Just thank goodness to my expense account, that I wouldn't spend this kind of $ on fast food, how these students can afford it is astounding.Designer names-wise, does have its Harry Rosen, but no stand alone like Tiffany, Zegna, etc, probably Kate Spade was the best I saw.  Your usual Eddie Bauer, Michael Kors, etc.Like how the Dundas station easily connects here too."
186,"The Toronto eaton centre is absolutely huge! It also holds concerts and shows sometimes.All of the stores are popluar brands in the province of Ontario, the showrooms just bigger then your regular mall ones. However this eaton centre has included Victoria Secrets showroom. They even have the pink edition as well. Theres a couple of maps every corner or so you can keep a track of yourself. And escalators and stairs are conviniently located so you dont have to walk much lost to go up or down. Lastly, the open sky glass idea was a really nice touch to the splendid architecture of the building. A good tourist spot :)"
187,"Great Variety of Stores . I personally like Abercrombie and Fitch and The Apple Store! The food court is bleh , and the Italian restaurant with the lasagna and pasta and  stuff are ripoffs and their lasagna tastes like cardboard."
188,"I'm not sure if I like this mall or hate this mall.  What I like about this place the most: it's right above the subway, so easy access in the winter, the Urban Eatery has a huge selection of fast food which was unique a few years back, but now it's becoming common place.  The selection of shops is great. What I hate about this mall: It's too busy, and parking is impossible to find.  Verdict: Come here during non-peak times (i.e. not Black Friday, not X'mas) and its convenient if you work in the downtown core.  If you live in the 'burbs, there's no point coming here, just go to Yorkdale, Square One or Vaughan Mils where parking is much easier to find."
189,"If you can find your way out of the labyrinth surrounding the Subway entrance to the Mall proper, there's lots of good shopping to be had. (Apple Store FTW)More maps and info kiosks are sorely needed!"
190,"When my friend first moved to Toronto, he mentioned this great and enormous underground mall that I had to visit when I came to Toronto. It was the Eaton Centre. I came here on two occasions during my four day visit to Toronto. I was not impressed. It is a mall. It is a big mall, but still a mall. Nothing too interesting or exciting about it for me. I guess the fact that it is underground makes a difference in the blazing summer heat or freezing winter. Otherwise, I did not see what the big deal was about this mall."
191,"i usually like it here, there are many stores i frequent and have bought most of my clothes and gifts for other people in this mall. it has always been dependable for a good time. the location is so great, it's close to work, close to other entertainment, accessible directly with subway.. etc. i don't know if I like that the stores are being moved all over the place. I felt a bit lost (and had a mini heart attack) when i didn't see the store right where i remembered it. they moved it across the hall!! the new food court is a lot better than before. Ate there a handful of times, pretty impressed. it's a big shopping mall in the center of the city, who doesn't like shopping?"
192,A pretty impressive mall in my book. It was in a very convenient location in downtown Toronto. Lots of stores and definitely a lot of selection in the food court.
193,"I, being born and bred in the GTA, have been visiting this mall for a long time.  Not to say, I actually like this mall, but it's a great place to meet up with close friends and then use it as a temperature controlled starting point for exploring this city.  Go elsewhere for a less stressed, less expensive and less corporate shopping experience.Layout:  There seriously needs to be more signage for the areas of the mall.  Most people won't know that the food court area is either on the lowest level or on the front, just below McDonald's.  There are three levels to the mall, and most of them are confusing as heck.  It's like being a rat in a maze - and after the renovation, it's no better - the stores have been shifted around, and it feels like the developers are playing a very complicated trick on the customers!Stores:  Pretty generic, with all the big names filling in a roll call.  You have Disney, H&M, Bell World, Apple, Abercombie and Fitch, and all the usual suspects.  The stores are on the high end side, with a emphasis on clothing, accessories and anything wearable.  Don't get your big budget electronics here, as it is difficult to find anything that specializes in the stuff.Bathrooms:  Few and far between.  The women's washrooms are always full and always crowded.  A big mall should have spacious, gorgeous washrooms for the customers.  These washrooms are very claustophobic, crowded and small feeling.  They also don't have hooks on the doors for women's bags/purses or purchases - so very clumsy!Location:  Smack dab in the middle of the city.  It's close to touristy destinations like the PATH, City Hall, Old City Hall, and Winter Gardens and Elgin Theatre.  Best thing about this mall is that is accessible by walking, bus, streetcar and subway.People:  Oh good grief.  This mall is usually packed with teens, tourists and business people looking for a quick bite or a quick buy.  This means that you'd either be annoyed at the princesses carting around Daddy's credit card and gossipping, or just avoiding the tourists who are looking at the displays and the Flying Geese formation at the Queen St. exit.Decorations:  There are a couple of landmarks in this mall.  The ""Flying Geese"" formation hanging from the ceiling at the Queen St. entrance.  A giant water fountain that spews a great gout of water up to the third storey - very impressive to watch, although it takes forever to fill up and do so.  During Christmas, there's a huge tree in the center of the mall.  I also love the natural light because of the glass ceilings/skylights.Parking:  Terrible, although there is a closed garage for you to head into.  I haven't used the garage in a long while, although - it costs a pretty penny!"
194,"I was very excited to visit the Eaton Center after hearing about all the new stores that popped up. I had a tough week and was ready to shop my sorrows away and rack up some serious debt. But I couldn't! I was basically wearing my credit card on my sleeve, and all I ended up buying was Aveda Shampoo! New stores as current date that I was very excited to see at Eaton Center:1. Juicy Couture. I am not talking about their expensive fleece/sweat wear that came into popularity when I was in OAC (showing my age...I went to high school when there was still a grade 13!!) Juicy has some serious Marc Jacobs-like clothes that make one all chique. But I was so disappointed when I walked in! The front half of the store is dedicated to sunglasses and accessories (blech) and then the end-part of the store has one wall dedicated to Juicy's fleece suits on fancy hangers (which have been around in existence for almost 10 years). The other wall has very boring clothes. Either I just picked the wrong season to go in, or this is as good as it gets for us. Disappointed.2. Massimo Dutti. I could not WAIT for the higher-end Zara store to arrive. I still have some of my fave Grace Kelly-esque dresses and coats I got from MD in Spain. The store layout is very Ralph Lauren...with dark woods, equestrian-like dÃ©cor all around. The store is split into Men's and Women's. If you are looking for basic black, grey and dark clothing priced at around $200 then this is your store. Boring as heck.3. J Crew. I usually get my basic J Crew sweaters, coats, shirts and pants at the huge outlet in Florida. I didn't find that much difference in style but big difference in price. In other words, I can't in good conscience buy J Crew clothing here, but I have to say, the store layout is very nice!4. Harry Rosen. Newly renovated and nice and big and modern and all for just-Men! My dad went nuts here and bought a great Etro coat. Anywhoo, excited to see all these new stores. Although this time around I couldn't get anything, I can always count on Zara for basics, Aveda for my shampoo, and the mall's closest proximity to my fave Chinese restaurant:)"
195,"If you are from a small town you'll love the Eatons Centre... God knows I did when I first moved to Toronto at 18. Unfortunately the nostalgia has worn off. Don't get me wrong, the selection in stores at the Eatons Centre is pretty good. Most stores are here and they have the best Apple and The Bay in town. Apart from those two stores, you are better off shopping along Queen West or Yorkville. Major flagship stores (which usually get exclusive lines) tend to be on one of those two streets and have better selections."
